Note/Channel,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
65,apc40 bottom button,,,,,,,,,,,,,,,
66,video punchin,video punchin,video punchin,video punchin,video punchin,video punchin,video punchin,video punchin,video punchin,video punchin,video punchin,video punchin,video punchin,video punchin,video punchin,video punchin
67,video punchin,video punchin,video punchin,video punchin,video punchin,video punchin,video punchin,video punchin,video punchin,video punchin,video punchin,video punchin,video punchin,video punchin,video punchin,video punchin
68,video punchin,video punchin,video punchin,video punchin,video punchin,video punchin,video punchin,video punchin,video punchin,video punchin,video punchin,video punchin,video punchin,video punchin,video punchin,video punchin
69,video punchin,video punchin,video punchin,video punchin,video punchin,video punchin,video punchin,video punchin,video punchin,video punchin,video punchin,video punchin,video punchin,video punchin,video punchin,video punchin
70,video punchin,video punchin,video punchin,video punchin,video punchin,video punchin,video punchin,video punchin,video punchin,video punchin,video punchin,video punchin,video punchin,video punchin,video punchin,video punchin
71,video punchin,video punchin,video punchin,video punchin,video punchin,video punchin,video punchin,video punchin,video punchin,video punchin,video punchin,video punchin,video punchin,video punchin,video punchin,video punchin
72,video punchin,video punchin,video punchin,video punchin,video punchin,video punchin,video punchin,video punchin,video punchin,video punchin,video punchin,video punchin,video punchin,video punchin,video punchin,video punchin
73,video punchin,video punchin,video punchin,video punchin,video punchin,video punchin,video punchin,video punchin,video punchin,video punchin,video punchin,video punchin,video punchin,video punchin,video punchin,video punchin
74,,,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,,,
76,,,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,,,
78,,,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,,,
80,apc40 master track select,,,,,,,,,,,,,,,
81,apc40 stop all clips,,,,,,,,,,,,,,,
82,toggle beam save,,,,,,,,,,,,,,,
83,toggle look save,,,,,,,,,,,,,,,
84,toggle saved beam delete,,,,,,,,,,,,,,,
85,apc40 scene launch 4,,,,,,,,,,,,,,,
86,toggle look edit,,,,,,,,,,,,,,,
87,anim num select,,,,,,,,,,,,,,,
88,anim num select,,,,,,,,,,,,,,,
89,anim num select,,,,,,,,,,,,,,,
90,anim num select,,,,,,,,,,,,,,,
91,apc40 play button,,,,,,,,,,,,,,,
92,apc40 stop button,,,,,,,,,,,,,,,
93,apc40 rec button,,,,,,,,,,,,,,,
94,beam nudge,,,,,,,,,,,,,,,
95,beam nudge,,,,,,,,,,,,,,,
96,beam nudge,,,,,,,,,,,,,,,
97,beam nudge,,,,,,,,,,,,,,,
98,pos. reset,,,,,,,,,,,,,,,
99,apc40 tap tempo,,,,,,,,,,,,,,,
100,anim paste,,,,,,,,,,,,,,,
101,anim copy,,,,,,,,,,,,,,,
102,,,,,,,,,,,,,,,,
103,,,,,,,,,,,,,,,,
104,,,,,,,,,,,,,,,,
105,,,,,,,,,,,,,,,,
106,,,,,,,,,,,,,,,,
107,,,,,,,,,,,,,,,,
108,clock one shot,clock one shot,clock one shot,clock one shot,clock one shot,clock one shot,clock one shot,clock one shot,,,,,,,,
109,clock tick indicator,clock tick indicator,clock tick indicator,clock tick indicator,clock tick indicator,clock tick indicator,clock tick indicator,clock tick indicator,,,,,,,,
110,clock tap,clock tap,clock tap,clock tap,clock tap,clock tap,clock tap,clock tap,,,,,,,,
111,anim internal clock,,,,,,,,,,,,,,,
112,anim ext clock 0,,,,,,,,,,,,,,,
113,anim ext clock 1,,,,,,,,,,,,,,,
114,anim ext clock 2,,,,,,,,,,,,,,,
115,anim ext clock 3,,,,,,,,,,,,,,,
116,anim ext clock 4,,,,,,,,,,,,,,,
117,anim ext clock 5,,,,,,,,,,,,,,,
118,anim ext clock 6,,,,,,,,,,,,,,,
119,anim ext clock 7,,,,,,,,,,,,,,,
120,rotation reset,,,,,,,,,,,,,,,
121,marquee reset,,,,,,,,,,,,,,,
122,,,,,,,,,,,,,,,,
123,,,,,,,,,,,,,,,,
124,,,,,,,,,,,,,,,,
125,,,,,,,,,,,,,,,,
126,,,,,,,,,,,,,,,,
127,,,,,,,,,,,,,,,,
